"","struct_idx","frequency","path_id","sequence_id","wavevector_x","wavevector_y","eig_idx"
"374584",10,1670,1,3,-2.58183765433447,3.0159289474462,5
"374585",10,1670,1,4,-2.59136839038186,2.95309709437441,5
"374586",10,1670,1,5,-2.60225184027534,2.89026524130261,5
"374587",10,1670,1,6,-2.61444665437036,2.82743338823081,5
"374588",10,1670,1,7,-2.62792533182608,2.76460153515902,5
"374589",10,1670,1,8,-2.63893782901543,2.7177678641561,5
"374590",10,1670,1,9,-2.64362772632321,2.70176968208722,5
"374591",10,1670,1,10,-2.6639138438104,2.63893782901543,5
"374592",10,1670,1,11,-2.68612169304238,2.57610597594363,5
"374593",10,1670,1,12,-2.71035823434448,2.51327412287183,5
"374594",10,1670,1,13,-2.73674590844283,2.45044226980004,5
"374595",10,1670,1,14,-2.76460153515902,2.38939026804603,5
"374596",10,1670,1,15,-2.7660214310172,2.38761041672824,5
"374597",10,1670,1,16,-2.82062247231006,2.32477856365645,5
"374598",10,1670,1,17,-2.88247830689553,2.26194671058465,5
"374599",10,1670,1,18,-2.89026524130261,2.25468418428108,5
"374600",10,1670,1,19,-3.0159289474462,2.22449023879599,5
"374601",10,1670,1,20,-3.14159265358979,2.25103317542115,5
"374602",10,1670,2,1,2.56712735670939,3.14159265358979,5
"374603",10,1670,2,2,2.56219801511467,3.078760800518,5
"374604",10,1670,2,3,2.55915940369289,3.0159289474462,5
"374605",10,1670,2,4,2.55833787057971,2.95309709437441,5
"374606",10,1670,2,5,2.5602066349054,2.89026524130261,5
"374607",10,1670,2,6,2.56545158934453,2.82743338823081,5
"374608",10,1670,2,7,2.57507464332021,2.76460153515902,5
"374609",10,1670,2,8,2.59056486172433,2.70176968208722,5
"374610",10,1670,2,9,2.6141996628905,2.63893782901543,5
"374611",10,1670,2,10,2.63893782901543,2.59327973724672,5
"374612",10,1670,2,11,2.65033109282313,2.57610597594363,5
"374613",10,1670,2,12,2.70383680412374,2.51327412287183,5
"374614",10,1670,2,13,2.76460153515902,2.46051937697003,5
"374615",10,1670,2,14,2.77790967653183,2.45044226980004,5
"374616",10,1670,2,15,2.87235818900144,2.38761041672824,5
"374617",10,1670,2,16,2.89026524130261,2.37707168042618,5
"374618",10,1670,2,17,2.98320403754011,2.32477856365645,5
"374619",10,1670,2,18,3.0159289474462,2.30709351309062,5
"374620",10,1670,2,19,3.11725482302588,2.26194671058465,5
"374621",10,1670,2,20,3.14159265358979,2.2510331754211,5
"374622",10,1675,1,1,-2.59533565663055,3.14159265358979,5
"374623",10,1675,1,2,-2.60095322913887,3.078760800518,5
"374624",10,1675,1,3,-2.60827476292318,3.0159289474462,5
"374625",10,1675,1,4,-2.61716996347238,2.95309709437441,5
"374626",10,1675,1,5,-2.62754968421419,2.89026524130261,5
"374627",10,1675,1,6,-2.63893782901543,2.82967462011122,5
"374628",10,1675,1,7,-2.63945376670929,2.82743338823081,5
"374629",10,1675,1,8,-2.65593515016948,2.76460153515902,5
"374630",10,1675,1,9,-2.67430838715169,2.70176968208722,5
"374631",10,1675,1,10,-2.69463948063357,2.63893782901543,5
"374632",10,1675,1,11,-2.71701453884335,2.57610597594363,5
"374633",10,1675,1,12,-2.7415377235415,2.51327412287183,5
"374634",10,1675,1,13,-2.76460153515902,2.45909391551446,5
"374635",10,1675,1,14,-2.77091481047749,2.45044226980004,5
"374636",10,1675,1,15,-2.82124986667835,2.38761041672824,5
"374637",10,1675,1,16,-2.87807584758371,2.32477856365645,5
"374638",10,1675,1,17,-2.89026524130261,2.31246805348793,5
"374639",10,1675,1,18,-3.0159289474462,2.27673346046378,5
"374640",10,1675,1,19,-3.14159265358979,2.30099756800423,5
"374641",10,1675,2,1,2.59533565663056,3.14159265358979,5
"374642",10,1675,2,2,2.59161133543824,3.078760800518,5
"374643",10,1675,2,3,2.59005298116928,3.0159289474462,5
"374644",10,1675,2,4,2.59105111722119,2.95309709437441,5
"374645",10,1675,2,5,2.5951640320224,2.89026524130261,5
"374646",10,1675,2,6,2.60319315917268,2.82743338823081,5
"374647",10,1675,2,7,2.61630200613233,2.76460153515902,5
"374648",10,1675,2,8,2.63621377528093,2.70176968208722,5
"374649",10,1675,2,9,2.63893782901543,2.69528293803384,5
