"","iElectron","t","ix","iy","iz"
"700",138,1.999602e-11,35,244,79
"701",132,2.011727e-11,133,131,5
"702",137,2.014644e-11,186,57,13
"703",141,2.015346e-11,59,84,25
"704",136,2.023497e-11,109,93,42
"705",138,2.03128e-11,36,243,81
"706",136,2.041303e-11,107,94,44
"707",141,2.047826e-11,61,82,27
"708",136,2.05214e-11,105,92,46
"709",136,2.059952e-11,102,92,48
"710",138,2.062802e-11,40,243,81
"711",136,2.078798e-11,101,93,48
"712",137,2.080631e-11,184,58,15
"713",136,2.088487e-11,101,92,47
"714",138,2.096155e-11,38,240,83
"715",136,2.10467e-11,100,91,50
"716",136,2.106371e-11,99,88,53
"717",136,2.109659e-11,99,87,53
"718",131,2.114611e-11,102,22,52
"719",143,2.115853e-11,105,6,20
"720",132,2.116774e-11,132,131,5
"721",131,2.126108e-11,102,22,54
"722",131,2.133316e-11,104,22,51
"723",138,2.142499e-11,39,239,84
"724",139,2.146156e-11,124,30,44
"725",132,2.150448e-11,130,128,4
"726",129,2.168837e-11,101,147,91
"727",138,2.169268e-11,41,240,84
"728",138,2.171663e-11,41,241,85
"729",138,2.17236e-11,43,243,84
"730",138,2.180791e-11,43,244,85
"731",143,2.186499e-11,105,6,21
"732",132,2.195489e-11,130,129,4
"733",138,2.210054e-11,43,245,86
"734",129,2.215849e-11,100,146,91
